iterID,Formulation,A,B,C,D,E,F,Stress,Modulus,Toughness,ExpectedStress,ExpectedModulus,ExpectedToughness
1,25,0,0.18,0.21,0.28,0.2,0.13,454.753534,1.36624116,68112.8155,0,0,0
1,26,0,0.02,0.38,0.04,0.29,0.27,279.904445,2.11330438,51731.0693,0,0,0
1,27,0.19,0.3,0.1,0.06,0.07,0.28,469.524716,1.75777468,77876.9026,0,0,0
1,28,0.08,0.16,0.14,0.04,0.19,0.39,440.042566,1.96343467,76654.9118,0,0,0
1,29,0.34,0.06,0.23,0.16,0.19,0.02,365.604657,1.230289,62118.0243,0,0,0
1,30,0.14,0.1,0.07,0.2,0.27,0.22,410.985613,1.11904851,66049.6554,0,0,0
1,31,0.07,0.07,0.32,0.21,0.03,0.3,136.165634,0.896216925,22268.5638,0,0,0
1,32,0.02,0.01,0.27,0.13,0.49,0.08,369.008756,1.31415695,61644.3642,0,0,0
1,33,0.09,0.32,0.03,0.13,0.37,0.06,533.981132,0.896762805,68784.7611,0,0,0
1,34,0.08,0.21,0.02,0,0.61,0.08,442.676774,0.725655633,59416.2131,0,0,0
1,35,0.09,0.32,0.04,0.21,0.17,0.17,507.42568,0.982173997,66650.9629,0,0,0
1,37,0.14,0.3,0.07,0.1,0.25,0.14,443.60078,1.11835782,65323.0907,0,0,0
1,39,0.04,0.17,0.07,0.22,0.24,0.26,489.589897,1.32944373,72483.9913,0,0,0
1,41,0.17,0.15,0.28,0.29,0,0.11,359.333335,1.73349772,60280.1487,0,0,0
1,42,0.1,0.14,0.14,0.26,0.27,0.09,485.246155,0.886484568,66192.4108,0,0,0
1,43,1,0,0,0,0,0,228.958541,0.728380335,49588.2084,0,0,0
1,44,0,1,0,0,0,0,435.657618,1.17477829,60782.1527,0,0,0
1,46,0,0,0,1,0,0,368.032803,0.037819494,29839.9581,0,0,0
1,47,0.6,0.4,0,0,0,0,558.33325,1.01471837,72324.3305,0,0,0
1,48,0.55,0.45,0,0,0,0,545.110654,1.00901808,76481.1353,0,0,0
1,49,0.5,0.5,0,0,0,0,595.986516,1.03132028,80252.0073,0,0,0
1,50,0.45,0.55,0,0,0,0,577.516727,1.02722593,78299.5278,0,0,0
1,51,0.4,0.6,0,0,0,0,603.011457,1.04862385,79494.8772,0,0,0
1,52,0.27,0.44,0.09,0.04,0.08,0.08,536.467889,1.33851582,83057.1828,0,0,0
1,53,0.04,0.19,0.36,0.2,0.12,0.09,380.620206,1.57608525,63939.3838,0,0,0
1,67,0,0.59,0,0.08,0.08,0.25,487.996383,1.69286146,74452.7692,0,0,0
1,68,0,0.39,0.13,0.07,0.03,0.38,492.21644,2.03542665,77476.1977,0,0,0
1,69,0.01,0.51,0,0.1,0.02,0.36,483.045729,1.70361865,74331.8675,0,0,0
1,70,0.01,0.62,0.01,0.03,0.1,0.23,461.006236,1.5331381,68683.965,0,0,0
